URL,Original,Corrected
https://hinative.com/questions/23872159,2. Have you ever heard anaphylaxis?,2. Have you ever heard OF anaphylaxis?
https://hinative.com/questions/23872159,1. I have heard anaphylaxis.,1. I have heard of anaphylaxis.
https://hinative.com/questions/23872159,2. Have you ever heard anaphylaxis?,2. Have you ever heard of anaphylaxis?
https://hinative.com/questions/23872150,It’s just only ¥100!,It’s just/only ¥100!
https://hinative.com/questions/23872150,It’s cheep.,It’s cheap.
https://hinative.com/questions/23872058,When I went outside I saw a dog barking to a cat.,When I went outside I saw a dog barking at a cat.
https://hinative.com/questions/23872039,"I’ll support my daughter to become whatever she wants to be, but there is only one condition, which is to decide by herself.","I’ll support my daughter to become whatever she wants to be, with only one condition, which is to decide for herself what she wants."
https://hinative.com/questions/23871902,Hearing this from him made me realize that I should be grateful for just having a job and getting paid.,"Having heard this from him/After learning this, I realized that I should grateful that I have a job that pays me well/I should be grateful that I still have a job that pays me."
https://hinative.com/questions/23857083,We would like to know what kind of information and media overseas customers refer to when traveling in Japan.,We would like to know what kind of information and media overseas customers refer to when planning their travels to Japan.
https://hinative.com/questions/23842459,"Yesterday, I watched comedy videos at office while eating, and laughed out alone.","Yesterday, I watched comedy videos at the office while eating and laughed out loud."
https://hinative.com/questions/23842459,And my colleagues saw me and had a puzzled looking face.,My colleagues saw me and had a puzzled look on their face.
https://hinative.com/questions/23871726,Water is coming out from the bottle.,This sentence is not used.
https://hinative.com/questions/23871726,Water comes out from the bottle.,This one also is not used.
https://hinative.com/questions/23871704,There are a lots of language around world.,"There are many languages spoken around the world.
There are a lot of languages spoken around the world.
There are lots of languages spoken around the world."
https://hinative.com/questions/23871704,There are a lots of language around world.,There are a lot of languages around world.
https://hinative.com/questions/23871704,There are a lots of language around world.,There are lots of languages around the world.
https://hinative.com/questions/23871704,There are a lots of language around world.,"There are many languages spoken around the world.
There are a lot of languages spoken around the world.
There are lots of languages spoken around the world."
https://hinative.com/questions/23871645,Dear my car,"Dear car,"
https://hinative.com/questions/23871645,Dear my car,My dear car
https://hinative.com/questions/23871637,They have pessmistic outlook on their future.,They have a pessmistic outlook on their future.
https://hinative.com/questions/23871605,"Personally, I think it’s not different during my holiday.","Personally, I don't think it's different during my holiday."
https://hinative.com/questions/23871605,I currently put a lot of time into thinking that the balance between work and life is vague and I tried to intend to do this.,I currently put a lot of time into thinking that the balance between work and life is vague and I intended to do this.
https://hinative.com/questions/23871605,Because I love my life and the way I work these days.,"Because I enjoy (not wrong, just a better word choice in my opinion) my life and the way I work these days."
https://hinative.com/questions/23871605,"Usually during my holiday, I tried to make my routine stronger more than ever.","Usually during my holiday, I tried to make my routine more strong than ever."
https://hinative.com/questions/23871605,I made resolution lists for myself this year.,I made resolution lists for myself this year. (woohoo good job!)
https://hinative.com/questions/23871605,One of the resolutions is that working out regularly and eating healthy diet a lot.,One of the resolutions is that working out regularly and eating a healthy diet.
https://hinative.com/questions/23871605,"Still, I keep doing my routine so far and I am very proud of myself.","Still, I keep doing my routine so far and I am very proud of myself. (me too!)"
https://hinative.com/questions/23871605,One thing that I want to put new routine into the morning is “miracle waking up”.,One thing that I want to make a new routine in the morning is “miracle waking up”.
https://hinative.com/questions/23871605,"Today, I woke up at 5:30 a.m., do meditation and work out in my room to build my muscles.","Today, I woke up at 5:30 a.m., did meditation and worked out in my room to build my muscles. (💪😎)"
https://hinative.com/questions/23871605,"So before going to the place that I work, I usually do two kinds of meditation like listening to singing bowl music and shower, and do two kinds of work out like cardiovascular for walking and muscle exercise.","So before going to the place that I work, I usually do two kinds of meditation: listening to singing bowl music, shower, and do two kinds of work out like cardiovascular for walking and muscle exercise."
https://hinative.com/questions/23871605,"Anyway, making a habit is really good point for my life in the long term perspective.","Anyway, making habits is really good for my life in the long term perspective."
https://hinative.com/questions/23871605,So I want to put more routines in my life.,"So, I want to put more routines in my life."
https://hinative.com/questions/23871605,"The next plan for my daily routine is reading books in Korean and English, investing stocks, buying real state and studying English and French.","The next plan for my daily routine is reading books in Korean and English, investing stocks, buying real state, and studying English and French."
https://hinative.com/questions/23871479,I wish to happen same with my last night dream.,I wish to have the same dream as the one I had last night.
https://hinative.com/questions/23871422,“I’ve just decided to let my dream of a English teacher go.,“I’ve just decided to let my dream of being an English teacher go.
https://hinative.com/questions/23871422,"Last Sunday, I did my first class as an self-called English teacher.","Last Sunday, I did my first class as a self-appointed English teacher."
https://hinative.com/questions/23871422,"Anyway, I’m not going to pursue it anymore and will find something else to do, which is more suited for me.","Anyway, I’m not going to pursue it anymore and will find something else to do that is better suited to me."
https://hinative.com/questions/23871422,“I’ve just decided to let my dream of a English teacher go.,“I’ve just decided to let my dream of being an English teacher go.
https://hinative.com/questions/23871422,"Last Sunday, I did my first class as an self-called English teacher.","Last Sunday, I did my first class as a self-appointed English teacher."
https://hinative.com/questions/23871422,"Anyway, I’m not going to pursue it anymore and will find something else to do, which is more suited for me.","Anyway, I’m not going to pursue it anymore and will find something else to do that is better suited to me."
https://hinative.com/questions/23871422,“I’ve just decided to let my dream of a English teacher go.,I’ve just decided to let my dream of being an English teacher go.
https://hinative.com/questions/23871422,"Last Sunday, I did my first class as an self-called English teacher.","Last Sunday, I did my first class as a self-styled (or self-proclaimed) English teacher."
https://hinative.com/questions/23871422,"There were 4 students, but it wasn’t as fun as I had dreamed of.","There were 4 students, but it wasn’t as much fun as I had dreamt it would be."
https://hinative.com/questions/23871422,"Anyway, I’m not going to pursue it anymore and will find something else to do, which is more suited for me.","Anyway, I’m not going to pursue it any longer and will find something else better suited to me."
https://hinative.com/questions/23871419,A: Jack doesn’t seem to be sorry at all.,A: Jack doesn’t seem sorry at all.
https://hinative.com/questions/23871419,He’s such a selfish guy.,He’s so selfish.
https://hinative.com/questions/23871418,"A: If you’re too stressed at work at the moment, why don’t you look for a new job?","A: If you’re too stressed with work at the moment, why don’t you look for a new job?"
https://hinative.com/questions/23871418,B: I’ve already tried it.,B: I’ve already tried.
https://hinative.com/questions/23871375,“Can I ask further question?”,“Can I ask another question?”
https://hinative.com/questions/23871375,“Can I ask further question?”,“Can I ask another question?”
https://hinative.com/questions/23871375,“Can I ask further question?”,“Can I ask another question?”
https://hinative.com/questions/23871368,When did it start as national holiday,When did it (start being/become) a national holiday?
https://hinative.com/questions/23871364,1. What is the people who believe catholic called?,1. What is a person who believes in the Catholic Church called?
https://hinative.com/questions/23871362,• Natural calls.,• Nature calls.
https://hinative.com/questions/23871362,• Natural's calling me.,• Nature’s calling me.
https://hinative.com/questions/23871362,• Big one?,• The big one?
https://hinative.com/questions/23871362,(Or small one?),(Or the small one?)
https://hinative.com/questions/23871362,• I just go to pee.,• I just went to pee.
https://hinative.com/questions/23871348,“I don’t like to sit on where somebody else has just sit on and left. I will sit there which has been empty.”,I don’t like to sit where somebody else just was. I’ll sit where it’s been empty.
https://hinative.com/questions/23871348,“I don’t like to sit on where somebody else has just sit on and left. I will sit there which has been empty.”,I don’t like to sit where somebody else just was. I’ll sit where it’s been empty.
https://hinative.com/questions/23871342,“I think I order it wrong.,“I think I ordered it wrong.
https://hinative.com/questions/23871342,“I think I order it wrong.,“I think I ordered it wrong.
https://hinative.com/questions/23871342,“I think I order it wrong.,“I think I ordered it wrong.
https://hinative.com/questions/23871335,"This movement is due to the thinness and delicate nature of the flakes, which respond to heat and steam.","This movement is due to the thinness and delicate nature of the flakes, which react to heat and steam."
https://hinative.com/questions/23871335,"As the steam rises from the hot food, it causes the lightweight flakes to lift and curl, creating the illusion of movement.","As the steam rises from the hot food, it causes the lightweight flakes to lift and curl, creating the illusion of life."
https://hinative.com/questions/23871320,This graph chart shows each five countries shares of expenditure for 5 major categories,This graph chart shows each of the five countries' (not sure about this one) shares of expenditure for five major categories.
https://hinative.com/questions/23871320,"These categories are included with necessities such as cloth, housing, food , healthcare and transportation","These categories are included with necessities such as cloth, housing, food, healthcare, and transportation."
https://hinative.com/questions/23871320,"Among the all categories(Of the all categories), the housing is accounted for substantially large Portion for the countries","Among all the categories, the housing is accounted for a substantially large portion for the countries."
https://hinative.com/questions/23871320,All countries have largest proportion for housing,All countries have largest proportion for housing.
https://hinative.com/questions/23871320,Where ass the healthcare and closing are relatively lower than other categories,Where as (HAHAHA THIS CAUGHT ME OFF GUARD) the healthcare and closing are relatively lower than other categories. (ass is a swear word)
https://hinative.com/questions/23871320,"Given the information in this chart, expenditure on housing ranges from a high of 26% to a low of  22% which is very minor Difference","Given the information in this chart, expenditure on housing ranges from a high of 26% to a low of  22%, which is very minor difference."
https://hinative.com/questions/23871320,"On the other hand, expenditure on food has a wide range in those countries","On the other hand, expenditure on food has a wide range in those countries."
https://hinative.com/questions/23871248,I got a presant that some sweets in box.,I got a present that has some sweets in box.
https://hinative.com/questions/23871248,I decided to eat it one a day.,I decided to eat one of them a day.
https://hinative.com/questions/23871248,I can enjoy 8days with it.,I can enjoy 8 days with it.
https://hinative.com/questions/23871241,Japanese people will spend money 1.7 times for the Golden Week compared to that of last year.,This year Japanese people will spend 1.7 times more for/during Golden Week compared to last year.
https://hinative.com/questions/23871241,"According to a private research company, the budget is 27,870 yen per person during the Golden Week.","According to a private research company, the budget is 27,870 yen per person during Golden Week."
https://hinative.com/questions/23871241,"The research company analyses that people will be more active and they will go outside more such as travels, shopping and going restaurants rather than staying home.","The research company's analysis indicates that people will be more active and will go out more for such things as travel, shopping and eating, rather than staying home."
https://hinative.com/questions/23871173,I didn’t bother shopping yesterday.,I didn’t feel like shopping yesterday.
https://hinative.com/questions/23871128,Can we take a road trip to Hokkaido?,Can we go on a road trip to Hokkaido?
https://hinative.com/questions/23871128,Can we take a road trip to Hokkaido?,Can we go on a road trip to Hokkaido?
https://hinative.com/questions/23871128,Can we take a road trip to Hokkaido?,How about we take a road trip to Hokkaido?
https://hinative.com/questions/23871032,I like a person who have a sweet smile.,I like a person who has a sweet smile.
https://hinative.com/questions/23871032,The sweet smile is able to make warm for conversation pertoner's hart.,The sweet smile is able to make the person they’re talking to’s heart warm.
https://hinative.com/questions/23871032,"Even though, that is truly difficult thing but I try to make a smile.","Even though that is truly difficult thing, I try to have that smile."
https://hinative.com/questions/23870834,What is the maximum number of people that can ride a tricycle?,What is the maximum number of people that a tricycle can carry?
https://hinative.com/questions/23870831,"Nowadays, more and more people get married later than before.","Nowadays, more and more people are getting married later than before."
https://hinative.com/questions/23870831,"Many people get married when they are more than 35 years old but actually for women, the older they are, the harder they get pregnant.","Many people are getting married after they turn 35, but for women, the older they are, the harder it is for them to get pregnant."
https://hinative.com/questions/23870831,"So, freezing egg has become more and more popular in my country.","So, the freezing of eggs has become more and more popular in my country."
https://hinative.com/questions/23870831,But this treatment is very expensive and it's vert painful for their bodies.,But this treatment is very expensive and very painful.
https://hinative.com/questions/23870831,I just feel sorry for women receiving the treatment.,I just feel sorry for the women who get the treatment done.
https://hinative.com/questions/23870828,"No, I wouldn't.","No, I wouldn’t because we are still required to wear masks on transportation. So when getting inside, we have to take our masks off, which will take some time, I think."
https://hinative.com/questions/23870749,"I had to wait in a line, and there was a girl with her girlfriend.","I had to wait in a line, and a girl was there with her girlfriend."
https://hinative.com/questions/23870749,One of them had a similar short hairstyle as mine.,One of them had a short hairstyle similar to mine.
https://hinative.com/questions/23870797,1. I'm going to get a colonoscopy and they said that they will put my under.,1. I'm going to get a colonoscopy and they said that they will put me under.
https://hinative.com/questions/23870797,2. I'm going to get a colonoscopy and they said that they will put my under anesthesia.,2. I'm going to get a colonoscopy and they said that they will put me under anesthesia.
https://hinative.com/questions/23870550,👦: I believe we'll meet again this Sunday in the park.,👦:Can we meet again this Sunday in the park?
https://hinative.com/questions/23870550,👦: I believe we'll meet again this Sunday in the park.,👦Shall we meet again this Sunday in the park?
https://hinative.com/questions/23870550,👦: I believe we'll meet again this Sunday in the park.,👦: I hope we'll meet again this Sunday at the park.
https://hinative.com/questions/23870493,👦: I bet he doesn’t come.,👦: I bet he won’t come.
https://hinative.com/questions/23870485,Many people are looking forward to realization of gender-equality.,Many people are looking forward to the realization of gender equality.
https://hinative.com/questions/23870478,Because I'm afraid if we can communicate.,Because I'm afraid we wouldn’t be able to communicate.
https://hinative.com/questions/23870478,"And if he/she was a introverted person, I would have a hard time getting along.","And if he/she was an introverted person, I would have a hard time getting along with them."
https://hinative.com/questions/23870475,How about we go to the bar?,"""How about we go to the bar?"""
https://hinative.com/questions/23870475,Sounds good said my bro.,"""Sounds good,"" said my bro."
https://hinative.com/questions/23870427,"What I learned from my new company is so called famous company in genaral is not the company is so excellent, it is always because of excellent talent people inside and makes company become excellent.","I learned that my new company, which is a famous company, is not an excellent company in and of itself. It's an excellent company because of the talented people within it."
https://hinative.com/questions/23870427,"So, the fact is people always judge people from the education backgrouod and company name, actually is nonsence，because the realy good are the people inside not the company.","So, the fact that people are judged by their educational background and their company's name is ridiculous because it is the people themselves that make the company great."
https://hinative.com/questions/23870427,"I noticed I can have a lot of role modle in this company, no matter how excellent you are is not important than what good task that compay will assign you.","I have found that there are a lot of role models in this company. The importance is placed not on your own excellence, but on the excellence of the task that's assigned to you."
https://hinative.com/questions/23870427,"So, how can i get the good task which can make me learn a lot is try to do the assgined task well, and try to my best to meet superviser's expectation.","So, how can I get assigned to the best tasks that I'll learn the most from? I must try to do well at the task I've currently been assigned and meet my supervisor's expectations."
https://hinative.com/questions/23870398,I have noticed you called me yesterday just now.,I just noticed that you called me yesterday.
https://hinative.com/questions/23870398,I am so sorry about that.,I am so sorry I missed that.
https://hinative.com/questions/23870395,"👩: If you get lost, ask me anytime.","👩: If you get lost, just call me anytime."
https://hinative.com/questions/23870395,"👩: If you get lost, ask me anytime.","👩: If you get lost, call me."
https://hinative.com/questions/23870389,👦: I believe we’ll meet again,"👦: 
Let’s get together again."
https://hinative.com/questions/23870271,Night!,Goodnight!
https://hinative.com/questions/23870271,Night!,Good night!
https://hinative.com/questions/23870211,I doubt the staff has replaced fresh water for me or not.,I doubt the staff replaced the water for me.
https://hinative.com/questions/23870211,"He may simply pours some new water into the electric kettle, without dumping the old water inside.",He may have just poured new water into the electric kettle without dumping out the old water.
https://hinative.com/questions/23870208,What country were you in before USA?,What country were you in before the USA?
https://hinative.com/questions/23870208,What country were you in before USA?,What country were you in before the USA?
https://hinative.com/questions/23870173,"Many older people think they should work because of their fulfilling, but many younger people recently think they should work to make a living.","Many older people think they should work because of thinking it is fulfilling to do so, but many younger people think they should work only to make a living."
https://hinative.com/questions/23870163,"I had a lot of frustrations on the way of learning English, but even so I believe I am still making progress every day, even if it is not a lot, but it is much better than doing nothing at all.","I had a lot of frustrations while learning English, but even so, I believe I am still making progress every day. Even if it is not a lot, it is much better than doing nothing at all."
https://hinative.com/questions/23870163,"My workplace people are very nice, my supervisor and colleagues are very easy going, it is a very warm workplace.","My coworkers are very nice. My supervisor and colleagues are very easy going, so it’s a very warm workplace."
https://hinative.com/questions/23870163,"I had a lot of frustrations on the way of learning English, but even so I believe I am still making progress every day, even if it is not a lot, but it is much better than doing nothing at all.","Learning english came with a lot of frustration, but I believe I am still making progress every day. Even if it is not a lot, it’s still much better than doing nothing at all."
https://hinative.com/questions/23870163,"My workplace people are very nice, my supervisor and colleagues are very easy going, it is a very warm workplace.",The people at my workplace are very nice. My supervisor and colleagues are very easy going. It’s a very warm workplace environment.
https://hinative.com/questions/23870163,"I had a lot of frustrations on the way of learning English, but even so I believe I am still making progress every day, even if it is not a lot, but it is much better than doing nothing at all.","I had a lot of frustrations while learning English, but even so, I believe I am still making progress every day. Even if it is not a lot, it is much better than doing nothing at all."
https://hinative.com/questions/23870163,"My workplace people are very nice, my supervisor and colleagues are very easy going, it is a very warm workplace.","People at my workplace are very nice. My supervisor and colleagues are very easygoing, and it is a very warm workplace."
https://hinative.com/questions/23870163,"Where were we talking about, I can't remember",What were we talking about? I can't remember.
https://hinative.com/questions/23870163,"I had a lot of frustrations on the way of learning English, but even so I believe I am still making progress every day, even if it is not a lot, but it is much better than doing nothing at all.","I was frustrated a lot when I was learning english, even so I believe i’m still making progress everyday. Even if it’s not a lot, its much better than nothing at all."
https://hinative.com/questions/23870163,"My workplace people are very nice, my supervisor and colleagues are very easy going, it is a very warm workplace.","The people at my workplace are very nice, my supervisor and colleagues are very easy going. It’s a very warm and comfortable workplace"
https://hinative.com/questions/23870163,"Where were we talking about, I can't remember",What were we talking about? I can’t remember
https://hinative.com/questions/23870158,I think older generations have more patient for work than younger generations.,I think older generations have more patience for work than younger generations.
https://hinative.com/questions/23870132,"Even though a smart phone is convenient, it has a disadvantage also.","Even though a smart phone is convenient, it has a disadvantage."
https://hinative.com/questions/23870129,"I had refrained from traveling abroad for about past 3 years but the COVID has totally finished, I think.","Over the past 3 years, I had refrained from traveling abroad, but the COVID has totally ended, I think."
https://hinative.com/questions/23870129,I believe I go travel more and more in the future.,I believe I will go travel more and more in the future.
https://hinative.com/questions/23870072,"Since each of us has a different diet, each one prepared his own food.","Since each of us has a different diet, we each prepared our own food."
https://hinative.com/questions/23870050,"After I arrive home, I do my homework.","When I arrive home, I do my homework."
https://hinative.com/questions/23870050,I am so tired because I have a lot of homework.,"Most of the time I listen to K-pop music when I do my homework, sometimes I eat snacks and listen to music."
https://hinative.com/questions/23870050,I sometimes eat snacks and listen to music.,
https://hinative.com/questions/23870050,I listen to K-pop music when I do my homework.,"Because I have so much homework, after I am very tired."
https://hinative.com/questions/23870050,"After I have done my homework, I watch many contents on my phone.","After I have done my homework, I watch some stuff on my phone, like Netflix or YouTube."
https://hinative.com/questions/23870050,I watch Netflix or YouTube.,
https://hinative.com/questions/23870050,Sometimes I show my friend some pictures.,Sometimes I like to show my friend some pictures.
https://hinative.com/questions/23870050,So I like my afternoon.,So that's why I like my afternoon.
https://hinative.com/questions/23870050,My favorite time of the day is the afternoon.,The afternoon is my favorite time of the day.
https://hinative.com/questions/23870050,"After the school finishes, I usually go home with my friend.","After school's done, I usually go home with my friend. (can also say, ""After school lets out"")"
https://hinative.com/questions/23870050,"While walking back home together, I talk about many things.","While walking home together, we talk about a lot of things."
https://hinative.com/questions/23870050,"After I arrive home, I do my homework.","When I get home, I do my homework."
https://hinative.com/questions/23870050,I am so tired because I have a lot of homework.,I get so tired because I have a lot of homework.
https://hinative.com/questions/23870050,I sometimes eat snacks and listen to music.,Sometimes I'll eat snacks and
https://hinative.com/questions/23870050,I listen to K-pop music when I do my homework.,listen to K-pop music while doing my homework.
https://hinative.com/questions/23870050,"After I have done my homework, I watch many contents on my phone.","After I'm done, I'll watch videos on my phone."
https://hinative.com/questions/23870050,I watch Netflix or YouTube.,"I usually watch either Netflix or YouTube. (or, if you watch both, ""watch Netflix and YouTube"")"
https://hinative.com/questions/23870050,Sometimes I show my friend some pictures.,"Sometimes I'll text my friend some pictures. (or you can use ""send"" instead of ""text"")"
https://hinative.com/questions/23870050,It is very fun.,It's a lot of fun.
https://hinative.com/questions/23870050,So I like my afternoon.,I like my afternoon.
https://hinative.com/questions/23869988,The review timing for the first a few days is really crucial ti convert short term memory to long term memory,"To convert short-term memory to long-term memory, the timing for the review is really crucial in the first few days"
https://hinative.com/questions/23869967,You should go to Sokcho Jungang marktet to eat delicious Chicken Gangjeong.,You should go to Sokcho Jungang market to eat delicious Chicken Gangjeong.
https://hinative.com/questions/23869967,"Then, you can go to the sea shore to see the beautiful view.","Then, you can go to the shore to see the beautiful view."
https://hinative.com/questions/23869967,"If you go there early in the morning or in the the evening, maybe you can see sunrise and sunset.","If you go there early in the morning or in the evening, maybe you can see the sunrise and sunset."
https://hinative.com/questions/23869932,"I originally planned to go to travel in next month, but I cancelled it now.","I originally planned to go traveling next month, but I cancelled my plans."
https://hinative.com/questions/23869932,"I had planned to go to travel in next month, but I decided not to go in the end.","I had planned to go traveling next month, but I decided not to go in the end."
https://hinative.com/questions/23869923,Do you have someone in your life that you wish that man would disappear sooner?,Do you have someone in your life that you wish would disappear soon?
https://hinative.com/questions/23869916,"👩: Yes, it’s really cool.","👩: Yes, it’s really cool, and also useful!"
https://hinative.com/questions/23869916,It’s also useful.,
https://hinative.com/questions/23869897,I would like to know how many access to our files on our website are.,I would like to know how many times the files on our website have been accessed.
https://hinative.com/questions/23869897,I would like to know how many access to our files on our website are.,I would like to know how many people have access to our files on our website.
https://hinative.com/questions/23869888,It's about noon in the US right now and there’s no feedback at all.,It's about noon in the US right now and l’m getting no responses to my questions. would be a better way to say this.
https://hinative.com/questions/23869866,I haven't been to that pizza place lately.,I haven't been to that pizza place (in a while) or (recently).
https://hinative.com/questions/23869866,The $4 lunch is great!,(Their) $4 lunch is great!
https://hinative.com/questions/23869882,👦: I remember you went there before.,👦: I remember when you were there before.
https://hinative.com/questions/23869882,👩: You also went there.,👩: You were also there.
https://hinative.com/questions/23869879,Just feel senstive.,I just feel senstive.
https://hinative.com/questions/23869879,Just feel senstive.,Someone/something is sensitive.
https://hinative.com/questions/23869863,You can go to N Seoul tower to see beautiful view of Seoul.,You can go to N Seoul Tower to see a beautiful view of Seoul.
https://hinative.com/questions/23869863,N Seoul tower is located in Namsan mountain.,N Seoul Tower is located at Namsan Mountain.
https://hinative.com/questions/23869863,"If you visit the observatory, you can see the view of the entire city of Seoul.","If you visit the observatory, you can see the entire city of Seoul."
https://hinative.com/questions/23869863,You can also visit to Gyeongbokgung Palace.,You can also visit Gyeongbokgung Palace.
https://hinative.com/questions/23869863,It is a good place to understand Korean history.,It is a good place to learn about Korean history.
https://hinative.com/questions/23869863,There is free guided tour in foreign languages.,"There are free guided tours in foreign languages,"
https://hinative.com/questions/23869863,"And you can see many people in Korean costume, Hanbok.","and you can see many people in traditional Korean wear, called Hanboks."
https://hinative.com/questions/23869863,"If you come to Seoul, you will have amazing time in Seoul.","If you come to Seoul, you will have an amazing time."
https://hinative.com/questions/23869863,I want to see you in Seoul soon.,I hope to see you in Seoul soon.
https://hinative.com/questions/23869857,I usually come home late after studying in private schools.,I usually come home late after studying at a private school.
https://hinative.com/questions/23869857,"On my way home, I feel comfortable.","On my way home, I feel comfortable (relaxed?)."
https://hinative.com/questions/23869857,"On most days, I end my day with a delicious meal and classic music.","On most days, I end my day with a delicious meal and classical music."
https://hinative.com/questions/23869857,Sometimes I watch the videos of classic concerts.,Sometimes I watch the videos of classical concerts.
https://hinative.com/questions/23869857,"Last year, my father gave me a concert ticket to London Symphony Orchestra.","Last year, my father gave me a ticket to a London Symphony Orchestra concert."
https://hinative.com/questions/23869857,It was a great time to see their performance with Seung-jin Cho.,I had a great time seeing their performance with Seung-jin Cho.
https://hinative.com/questions/23869857,I really enjoy listening to classic music every night.,I really enjoy listening to classical music every night.
https://hinative.com/questions/23869804,I was screened for HIV for first time in my life.,I was screened for HIV for the first time in my life.
https://hinative.com/questions/23869804,It came back fortunately negative.,"Fortunately, it came back negative."
https://hinative.com/questions/23869804,"I think that it would be nice, if everyone, before getting intimate with a new partner, would go to testing for STDs.","I think that it would be nice if everyone, before getting intimate with a new partner, would go get tested for STDs."
https://hinative.com/questions/23869722,What would you do if you had two options : buying a new copy machine or a secondhand one.,"What would you do if you had two options: buy a new copy machine, or, a secondhand one?"
https://hinative.com/questions/23869722,The latter is  some 50% off than the former.,The latter being some 50% off the former.
https://hinative.com/questions/23869722,What would you do if you had two options : buying a new copy machine or a secondhand one.,"What would you do, if you had two options: buy a new photocopier or a secondhand one?"
https://hinative.com/questions/23869722,The latter is  some 50% off than the former.,The latter is about 50% cheaper than the former.
https://hinative.com/questions/23869709,"My copy machine is on its last legs so, it's time to dispose of it.","My copy machine is on its last legs, so it's time to dispose of it."
